secpar  tau  N        d    epsilon_hom  alpha_w  gamma  k  n  m   omega  RHF_LWE_KOTS      RHF_SIS_KOTS  RHF_SIS_HVC  alpha  alpha_mlwe        alpha_H  beta_z  beta_sigma  beta_agg  beta_encode  eta   q                 q_bit  kappa  qprime       qprime_bit  kappaprime  sig size  open size  total size
------  ---  -------  ---  -----------  -------  -----  -  -  --  -----  ----------------  ------------  -----------  -----  ----------------  -------  ------  ----------  --------  -----------  ----  ----------------  -----  -----  -----------  ----------  ----------  --------  ---------  ----------
128     12   1024     256  1/32768      23       10     4  4  9   2      1.00391442096053  1.00445       1.00441      87     1.60000000000000  60       7023    6614676     602359    589          512   1125899906856961  51     5      867354289    30          3           7 KB      152 KB     158 KB    
128     12   32768    256  1/32768      23       10     4  5  10  4      1.00372005105736  1.0045        1.0045       87     1.60000000000000  60       7023    37522776    2869005   3534         406   536881153         30     3      301474513    29          3           8 KB      205 KB     214 KB    
128     12   131072   256  1/32768      23       10     4  5  10  4      1.00397523861318  1.00445       1.0045       87     1.60000000000000  60       7023    75045551    46897955  7213         3251  274877908993      39     3      1203313393   31          3           9 KB      235 KB     244 KB    
128     12   1048576  256  1/32768      23       10     4  5  10  3      1.00441653315876  1.00441       1.0045       87     1.60000000000000  60       7023    212260872   8166412   21048        194   8796093027329     44     5      13595033681  34          4           9 KB      285 KB     294 KB    
128     16   1024     256  1/32768      23       10     4  4  9   2      1.00391442096053  1.00445       1.00441      87     1.60000000000000  60       7023    6614676     604930    591          512   1125899906856961  51     5      867354289    30          3           7 KB      192 KB     198 KB    
128     16   32768    256  1/32768      23       10     4  5  10  4      1.00372005105736  1.0045        1.0045       87     1.60000000000000  60       7023    37522776    2879953   3547         406   536881153         30     3      301474513    29          3           8 KB      259 KB     268 KB    
128     16   131072   256  1/32768      23       10     4  5  10  4      1.00397523861318  1.00445       1.0045       87     1.60000000000000  60       7023    75045551    47069739  7240         3251  274877908993      39     3      1203313393   31          3           9 KB      297 KB     305 KB    
128     16   1048576  256  1/32768      23       10     4  5  10  3      1.00441653315876  1.00441       1.0045       87     1.60000000000000  60       7023    212260872   8193912   21119        194   8796093027329     44     5      13595033681  34          4           9 KB      360 KB     369 KB    
128     20   1024     256  1/32768      23       10     4  4  9   2      1.00391442096053  1.00445       1.00441      87     1.60000000000000  60       7023    6614676     606974    593          512   1125899906856961  51     5      867354289    30          3           7 KB      232 KB     238 KB    
128     20   32768    256  1/32768      23       10     4  5  10  4      1.00372005105736  1.0045        1.0045       87     1.60000000000000  60       7023    37522776    2888651   3558         406   536881153         30     3      301474513    29          3           8 KB      313 KB     322 KB    
128     20   131072   256  1/32768      23       10     4  5  10  4      1.00397523861318  1.00445       1.0045       87     1.60000000000000  60       7023    75045551    59476083  7261         4096  549755860993      40     3      1203313393   31          3           9 KB      358 KB     367 KB    
128     20   1048576  256  1/32768      23       10     4  5  10  3      1.00441653315876  1.00441       1.0045       87     1.60000000000000  60       7023    212260872   8215866   21175        194   8796093027329     44     5      13595033681  34          4           9 KB      435 KB     444 KB    
128     24   1024     256  1/32768      23       10     4  4  9   2      1.00391442096053  1.00445       1.00441      87     1.60000000000000  60       7023    6614676     608671    595          512   1125899906856961  51     5      867354289    30          3           7 KB      272 KB     278 KB    
128     24   32768    256  1/32768      23       10     4  5  10  4      1.00372005105736  1.0045        1.0045       87     1.60000000000000  60       7023    37522776    2895864   3567         406   536881153         30     3      301474513    29          3           8 KB      367 KB     376 KB    
128     24   131072   256  1/32768      23       10     4  5  10  4      1.00397523861318  1.00445       1.0045       87     1.60000000000000  60       7023    75045551    59618719  7278         4096  549755860993      40     3      1203313393   31          3           9 KB      420 KB     428 KB    
128     24   1048576  256  1/32768      23       10     4  5  10  3      1.00441653315876  1.00441       1.0045       87     1.60000000000000  60       7023    212260872   8234132   21222        194   8796093027329     44     5      13595033681  34          4           9 KB      510 KB     519 KB    
